ImageId,Label
16001,4
16002,0
16003,1
16004,6
16005,6
16006,1
16007,7
16008,7
16009,2
16010,6
16011,5
16012,7
16013,4
16014,2
16015,8
16016,4
16017,9
16018,9
16019,3
16020,6
16021,1
16022,8
16023,1
16024,3
16025,9
16026,9
16027,3
16028,4
16029,2
16030,9
16031,9
16032,8
16033,3
16034,3
16035,4
16036,6
16037,9
16038,2
16039,6
16040,3
16041,3
16042,4
16043,4
16044,1
16045,1
16046,9
16047,5
16048,5
16049,1
16050,4
16051,1
16052,0
16053,0
16054,2
16055,7
16056,1
16057,1
16058,3
16059,8
16060,5
16061,2
16062,2
16063,6
16064,7
16065,8
16066,2
16067,9
16068,9
16069,6
16070,8
16071,2
16072,3
16073,6
16074,6
16075,2
16076,9
16077,0
16078,3
16079,6
16080,9
16081,5
16082,7
16083,1
16084,3
16085,7
16086,8
16087,2
16088,9
16089,7
16090,7
16091,9
16092,9
16093,5
16094,6
16095,8
16096,9
16097,1
16098,5
16099,3
16100,1
16101,8
16102,0
16103,7
16104,8
16105,0
16106,5
16107,9
16108,2
16109,8
16110,6
16111,2
16112,0
16113,6
16114,7
16115,7
16116,0
16117,5
16118,8
16119,1
16120,7
16121,1
16122,1
16123,3
16124,1
16125,7
16126,5
16127,5
16128,8
16129,3
16130,2
16131,3
16132,2
16133,9
16134,4
16135,6
16136,3
16137,3
16138,1
16139,5
16140,7
16141,8
16142,4
16143,8
16144,3
16145,0
16146,3
16147,4
16148,8
16149,0
16150,2
16151,8
16152,7
16153,4
16154,6
16155,3
16156,4
16157,9
16158,8
16159,6
16160,1
16161,7
16162,5
16163,9
16164,4
16165,6
16166,9
16167,2
16168,1
16169,7
16170,5
16171,7
16172,6
16173,4
16174,8
16175,6
16176,6
16177,5
16178,6
16179,5
16180,1
16181,5
16182,2
16183,6
16184,5
16185,0
16186,4
16187,1
16188,4
16189,2
16190,7
16191,8
16192,9
16193,8
16194,8
16195,0
16196,5
16197,2
16198,4
16199,9
16200,9
16201,9
16202,3
16203,3
16204,5
16205,3
16206,1
16207,0
16208,2
16209,7
16210,4
16211,1
16212,1
16213,8
16214,2
16215,7
16216,7
16217,2
16218,5
16219,0
16220,6
16221,8
16222,1
16223,5
16224,8
16225,4
16226,4
16227,8
16228,5
16229,3
16230,2
16231,1
16232,5
16233,7
16234,4
16235,4
16236,9
16237,2
16238,5
16239,8
16240,5
16241,3
16242,7
16243,7
16244,3
16245,3
16246,5
16247,7
16248,0
16249,7
16250,9
16251,4
16252,7
16253,6
16254,1
16255,9
16256,1
16257,9
16258,9
16259,7
16260,2
16261,2
16262,4
16263,7
16264,8
16265,0
16266,9
16267,4
16268,6
16269,7
16270,3
16271,5
16272,7
16273,7
16274,5
16275,9
16276,9
16277,0
16278,7
16279,8
16280,0
16281,6
16282,5
16283,5
16284,6
16285,8
16286,5
16287,4
16288,8
16289,5
16290,2
16291,8
16292,6
16293,8
16294,6
16295,7
16296,7
16297,9
16298,4
16299,4
16300,4
16301,1
16302,0
16303,6
16304,4
16305,6
16306,9
16307,5
16308,1
16309,6
16310,1
16311,7
16312,3
16313,7
16314,2
16315,6
16316,2
16317,4
16318,9
16319,8
16320,3
16321,3
16322,7
16323,6
16324,0
16325,9
16326,9
16327,1
16328,9
16329,2
16330,2
16331,6
16332,0
16333,3
16334,3
16335,6
16336,6
16337,1
16338,6
16339,1
16340,2
16341,8
16342,0
16343,0
16344,4
16345,3
16346,3
16347,7
16348,9
16349,3
16350,3
16351,5
16352,9
16353,8
16354,1
16355,8
16356,5
16357,8
16358,6
16359,2
16360,0
16361,6
16362,8
16363,0
16364,0
16365,2
16366,6
16367,5
16368,1
16369,1
16370,1
16371,8
16372,2
16373,4
16374,2
16375,8
16376,7
16377,9
16378,2
16379,9
16380,5
16381,2
16382,8
16383,2
16384,6
16385,5
16386,5
16387,8
16388,5
16389,8
16390,0
16391,0
16392,3
16393,2
16394,7
16395,7
16396,7
16397,8
16398,2
16399,1
16400,8
16401,1
16402,4
16403,4
16404,2
16405,7
16406,6
16407,8
16408,4
16409,7
16410,2
16411,7
16412,7
16413,5
16414,5
16415,8
16416,5
16417,5
16418,9
16419,3
16420,9
16421,7
16422,6
16423,0
16424,4
16425,5
16426,3
16427,6
16428,2
16429,4
16430,8
16431,3
16432,4
16433,5
16434,0
16435,9
16436,9
16437,0
16438,3
16439,5
16440,1
16441,1
16442,1
16443,9
16444,4
16445,8
16446,0
16447,8
16448,9
16449,2
16450,5
16451,2
16452,5
16453,4
16454,7
16455,0
16456,0
16457,2
16458,8
16459,1
16460,0
16461,4
16462,3
16463,1
16464,2
16465,5
16466,0
16467,7
16468,3
16469,6
16470,7
16471,7
16472,5
16473,3
16474,3
16475,2
16476,7
16477,6
16478,2
16479,4
16480,5
16481,6
16482,0
16483,6
16484,2
16485,1
16486,4
16487,7
16488,4
16489,0
16490,3
16491,7
16492,3
16493,5
16494,3
16495,7
16496,4
16497,0
16498,2
16499,4
16500,0
16501,2
16502,4
16503,2
16504,4
16505,3
16506,5
16507,3
16508,7
16509,6
16510,2
16511,6
16512,0
16513,1
16514,7
16515,4
16516,6
16517,4
16518,3
16519,1
16520,8
16521,2
16522,7
16523,5
16524,2
16525,5
16526,6
16527,0
16528,3
16529,0
16530,3
16531,5
16532,1
16533,5
16534,2
16535,8
16536,4
16537,3
16538,8
16539,8
16540,1
16541,5
16542,8
16543,4
16544,1
16545,5
16546,0
16547,4
16548,4
16549,1
16550,8
16551,7
16552,7
16553,4
16554,8
16555,3
16556,8
16557,3
16558,4
16559,2
16560,2
16561,8
16562,3
16563,1
16564,7
16565,3
16566,1
16567,4
16568,5
16569,4
16570,0
16571,8
16572,2
16573,8
16574,8
16575,3
16576,2
16577,8
16578,8
16579,7
16580,6
16581,3
16582,3
16583,3
16584,7
16585,1
16586,9
16587,6
16588,6
16589,7
16590,5
16591,9
16592,0
16593,2
16594,1
16595,4
16596,2
16597,4
16598,5
16599,1
16600,8
16601,6
16602,8
16603,7
16604,6
16605,2
16606,6
16607,9
16608,8
16609,9
16610,7
16611,4
16612,1
16613,4
16614,6
16615,7
16616,4
16617,5
16618,8
16619,8
16620,9
16621,7
16622,6
16623,3
16624,9
16625,8
16626,6
16627,3
16628,0
16629,0
16630,9
16631,6
16632,4
16633,2
16634,5
16635,4
16636,3
16637,5
16638,2
16639,0
16640,5
16641,9
16642,3
16643,9
16644,5
16645,5
16646,0
16647,0
16648,4
16649,5
16650,1
16651,9
16652,1
16653,1
16654,1
16655,4
16656,8
16657,6
16658,4
16659,4
16660,3
16661,0
16662,8
16663,5
16664,1
16665,4
16666,2
16667,4
16668,0
16669,1
16670,0
16671,3
16672,9
16673,0
16674,8
16675,8
16676,7
16677,0
16678,8
16679,8
16680,8
16681,6
16682,8
16683,5
16684,6
16685,6
16686,5
16687,9
16688,4
16689,6
16690,4
16691,2
16692,1
16693,5
16694,5
16695,2
16696,7
16697,0
16698,1
16699,0
16700,0
16701,9
16702,3
16703,2
16704,1
16705,6
16706,5
16707,7
16708,7
16709,5
16710,5
16711,2
16712,8
16713,3
16714,3
16715,2
16716,5
16717,8
16718,3
16719,3
16720,9
16721,9
16722,6
16723,4
16724,6
16725,2
16726,0
16727,4
16728,3
16729,6
16730,7
16731,5
16732,3
16733,2
16734,7
16735,7
16736,5
16737,6
16738,2
16739,3
16740,3
16741,6
16742,4
16743,6
16744,1
16745,3
16746,1
16747,7
16748,8
16749,2
16750,6
16751,6
16752,4
16753,4
16754,8
16755,6
16756,7
16757,5
16758,8
16759,5
16760,2
16761,8
16762,9
16763,8
16764,0
16765,9
16766,2
16767,9
16768,3
16769,2
16770,4
16771,0
16772,6
16773,6
16774,2
16775,4
16776,7
16777,8
16778,1
16779,3
16780,8
16781,1
16782,2
16783,7
16784,1
16785,8
16786,7
16787,9
16788,9
16789,4
16790,9
16791,4
16792,3
16793,7
16794,1
16795,2
16796,6
16797,8
16798,5
16799,1
16800,2
16801,1
16802,1
16803,0
16804,1
16805,6
16806,5
16807,2
16808,6
16809,2
16810,2
16811,3
16812,6
16813,9
16814,7
16815,4
16816,9
16817,0
16818,1
16819,1
16820,1
16821,1
16822,3
16823,5
16824,1
16825,1
16826,2
16827,3
16828,1
16829,2
16830,6
16831,1
16832,4
16833,0
16834,8
16835,0
16836,2
16837,1
16838,4
16839,4
16840,5
16841,7
16842,0
16843,8
16844,7
16845,8
16846,1
16847,3
16848,7
16849,2
16850,2
16851,2
16852,4
16853,2
16854,9
16855,2
16856,9
16857,1
16858,8
16859,2
16860,2
16861,5
16862,9
16863,4
16864,3
16865,7
16866,1
16867,0
16868,4
16869,4
16870,2
16871,9
16872,2
16873,0
16874,0
16875,5
16876,0
16877,1
16878,6
16879,0
16880,3
16881,7
16882,5
16883,0
16884,7
16885,4
16886,9
16887,9
16888,3
16889,6
16890,2
16891,4
16892,1
16893,3
16894,2
16895,3
16896,0
16897,0
16898,6
16899,5
16900,8
16901,7
16902,0
16903,6
16904,2
16905,0
16906,9
16907,9
16908,1
16909,5
16910,3
16911,5
16912,8
16913,9
16914,0
16915,7
16916,1
16917,5
16918,0
16919,1
16920,0
16921,0
16922,6
16923,4
16924,7
16925,7
16926,4
16927,9
16928,3
16929,8
16930,8
16931,9
16932,6
16933,7
16934,0
16935,0
16936,3
16937,3
16938,8
16939,7
16940,7
